1,0,0,0,0,0,0.01
0,1,0.02,0,0,0.0098084,0
0,0,1,0,0,0.022287,0
0,0,0,1,0.01,0,0
0,0,0,0.41709,1,0.14068,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,0,0.042527,0.01,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,-19.403,0,0.69863,0
0,0,0,0,1,0,0
0,0,0,0,0,2.2287,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,-0.97811,0,0,0,0
0.22269,0,0,0,0,0,0.0096335
0,0.24192,0,0,3.8718e-05,0.0097213,0
0,0.22054,0,0,8.7976e-05,0.022089,0
0,0,-6.2406e-05,0.01,0,4.3215e-05,0
0,0,-1.0188e-05,1,0.0005554,0.13945,0
0,0,0.00011261,0,0.0039475,0.99112,0
6.9691e-05,0,0,0,0,0,0.8541
